Wavelength (nm),Voltage (V)
349.973,0.044694191199
359.99,0.07374141941399999
370.003,0.11192197611000003
380.013,0.18696409292999994
390.019,0.33296817758999997
400.022,0.53161828948
410.021,0.7742574799299998
420.016,1.0576439377000002
430.007,1.241006884
439.994,1.5457531544999998
449.977,1.870601721
460.035,2.2038471884
470.01,2.5483159960999995
479.98,2.864044058099999
490.025,3.1737087987999995
499.985,3.456815893800001
510.021,3.722970532899997
519.972,3.9299176120999992
529.998,4.1627110144
540.019,4.335924748800004
550.034,4.4221541260000015
559.965,4.565876497500001
569.97,4.7706946562
579.97,4.8603848647
589.964,5.0117941763000005
600.032,5.163989405299999
610.014,5.171475934399999
619.991,5.053393907800001
629.962,4.965272130599996
640.006,4.9697782464
649.964,4.976502360899999
659.996,4.872204198499998
670.021,4.6748267886
680.039,4.477207712799999
690.015,4.735578374500004
700.014,5.0505797909
710.006,5.297755426700002
719.99,5.438287281599998
729.968,5.489632783000003
740.018,5.496571154099999
749.981,5.478098354200003
760.016,5.422007050500002
769.965,5.307122435499998
779.985,5.053946857099999
789.997,4.8509696191
800.001,4.724451055900002
809.997,4.689632649
819.985,4.563071284299999
829.966,4.535933137
840.015,4.5867804328999995
849.979,4.7140737527
