Wavelength (nm),EQE
299.97,814504.6376873298
305.027,874641.4440943833
310.002,884112.3512711426
314.976,898526.2177369114
320.03,926308.4344660457
325.003,941681.2271974894
329.975,911924.7445802767
335.027,975481.5819497342
339.997,987194.8016470503
344.967,1082559.6620172856
350.016,1183429.1564607231
354.984,1275892.6896214345
360.032,1376952.438661664
364.999,1464254.959160982
369.964,1560738.9801684003
375.009,1647387.3212403853
379.973,1713204.136750594
385.016,1816631.4140431613
389.978,1911694.1808024023
395.02,2011707.327531752
399.98,2094631.9609170675
405.019,2190620.265434217
409.978,2276833.236181228
415.015,2377982.689153694
419.972,2429207.276547125
425.007,2478932.6317134593
429.962,2493983.054791385
434.995,2512986.756097718
440.028,2527253.2560011013
444.979,2529345.6644777334
450.01,2548702.403701939
455.039,2567138.9010144817
459.987,2570790.053311544
465.014,2580892.8422420425
469.961,2598232.73779626
474.985,2603947.8985709627
480.009,2638022.9774458315
485.032,2664683.4301535315
489.973,2540827.710581975
494.994,2546256.88293894
500.013,2547291.3155702655
505.031,2548308.7862220826
509.968,2539226.8523514243
514.983,2538650.0727742156
519.997,2542350.219153204
525.01,2556746.7088129977
530.022,2555364.4419273315
535.033,2556282.5232888195
539.962,2563080.4580201646
544.97,2573448.303571636
549.977,2576077.3974147094
554.982,2580347.6369592333
559.986,2575110.4384982153
564.989,2587710.463312924
569.99,2584158.624432997
574.99,2580373.112193868
579.989,2587128.301626938
584.986,2589898.1378782922
589.982,2592702.2648048815
594.976,2600769.8938792804
599.969,2599962.214780627
604.961,2604767.8252864587
610.03,2611097.8684080415
615.018,2623932.87654219
620.005,2619048.369426657
624.991,2611521.29383987
629.975,2595742.7880891673
635.037,2596839.3714993712
640.018,2585297.624913538
644.998,2578561.9230714003
649.976,2570763.44387141
655.031,2571098.5709940884
660.006,2555049.68028062
664.979,2557117.0858027367
670.03,2552421.4752476877
675.0,2553019.4730528546
679.968,2552724.6702370527
684.981,2538775.709358119
690.022,2538122.21372424
694.982,2541852.0079121855
700.02,2545150.594425165
704.977,2531569.8759111804
710.01,2537250.2748818365
714.964,2529099.8397702514
719.994,2521074.189758426
725.023,2514550.286150219
729.971,2505841.6480266973
734.996,2489671.40821792
740.02,2503350.050786834
744.963,2479627.188767464
749.982,2485294.459949878
755.0,2474255.860020148
760.016,2461948.280510577
765.03,2449080.5685047945
769.964,2416090.5975165754
774.974,2346489.24539385
779.982,2218343.1876079272
784.989,1966772.5384001958
789.993,1577319.8878288898
794.996,1123990.7336354824
799.996,714861.6424206942
804.995,419928.5711428798
809.991,236971.03029156075
814.986,131948.25424701982
819.979,74855.15526568657
824.969,45625.83745100177
830.036,29692.45826450111
835.022,21357.472465052342
840.007,17284.648522479714
844.989,15283.470822991516
849.969,13871.000303278128
