Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.08659,-0.62407
-0.18,-2.04877,-0.62057
-0.16,-2.02635,-0.61566
-0.14,-2.00954,-0.61706
-0.12,-1.99413,-0.60936
-0.1,-1.97943,-0.60726
-0.08,-1.96822,-0.60306
-0.06,-1.95771,-0.60306
-0.04,-1.95001,-0.59955
-0.02,-1.943,-0.59605
-0.0,-1.936,-0.59395
0.02,-1.92689,-0.58835
0.04,-1.92339,-0.58765
0.06,-1.91148,-0.58484
0.08,-1.90798,-0.58204
0.1,-1.90378,-0.57644
0.12,-1.90308,-0.57364
0.14,-1.89677,-0.57013
0.16,-1.88977,-0.57154
0.18,-1.88557,-0.56733
0.2,-1.88066,-0.56803
0.22,-1.87576,-0.56383
0.24,-1.87296,-0.55753
0.26,-1.86805,-0.55753
0.28,-1.86175,-0.55262
0.3,-1.85545,-0.54842
0.32,-1.85334,-0.54842
0.34,-1.84634,-0.54842
0.36,-1.84564,-0.54072
0.38,-1.84004,-0.54002
0.4,-1.83583,-0.53441
0.42,-1.83093,-0.53301
0.44,-1.82953,-0.53161
0.46,-1.82182,-0.52811
0.48,-1.81622,-0.52461
0.5,-1.80782,-0.519
0.52,-1.80081,-0.519
0.54,-1.79241,-0.5127
0.56,-1.7812,-0.50709
0.58,-1.77349,-0.49869
0.6,-1.76579,-0.49379
0.62,-1.74968,-0.48398
0.64,-1.73427,-0.47768
0.66,-1.71816,-0.46857
0.68,-1.70625,-0.45666
0.7,-1.69154,-0.44686
0.72,-1.67403,-0.43215
0.74,-1.66072,-0.42304
0.76,-1.64741,-0.40203
0.78,-1.63621,-0.38732
0.8,-1.6187,-0.3642
0.82,-1.60679,-0.33619
0.84,-1.59068,-0.30677
0.86,-1.56406,-0.27105
0.88,-1.53955,-0.22622
0.9,-1.49962,-0.17579
0.92,-1.44499,-0.09594
0.94,-1.38195,0.01963
0.96,-1.29229,0.16672
0.98,-1.17952,0.33412
1.0,-1.02892,0.52674
1.02,-0.85451,0.73687
1.04,-0.65419,0.9533
1.06,-0.42864,1.17534
1.08,-0.20381,1.39737
1.1,0.02734,1.63762
1.12,0.24237,1.86806
1.14,0.4637,2.13142
1.16,0.68574,2.4172
1.18,0.92949,2.7513
1.2,1.19635,3.14214
1.22,1.51714,3.62123
1.24,1.88347,4.17317
1.26,2.31773,4.81616
1.28,2.81924,5.54041
1.3,3.39149,6.37252
1.32,4.07021,7.27186
1.34,4.93313,8.24826
1.36,6.04191,9.287
1.38,7.39374,10.38526
1.4,8.88634,11.53396
1.42,10.55476,12.7352
1.44,12.0971,13.97565
1.46,13.66536,15.24342
1.48,15.26235,16.52521
1.5,16.87893,17.76776
